,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Sewing kit,Administration,Stationeries & Office Supplies,Administration
,Shoes (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Shorts (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Suitcases,Administration,Stationeries & Office Supplies,Administration
,Sweater (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Thermos (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Toilet material (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Towels (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Trolley (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Umbrellas (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Photography Access,Administration,PR Activities,Administration
,Camera (Photography Access),Administration,PR Activities ,Administration
,Promotion Items,Administration,PR Activities,Administration
,150 Years ICRC,Administration,PR Activities ,Administration
,Arab English,Administration,PR Activities ,Administration
,Arab French,Administration,PR Activities ,Administration
,Audio Visual Materi (Promotion Items),Administration,PR Activities ,Administration
,Clocks (Promotion Items),Administration,PR Activities ,Administration
,Creol,Administration,PR Activities ,Administration
,English French (Promotion Items),Administration,PR Activities ,Administration
,Health Care in Dan,Administration,PR Activities ,Administration
,ICRC publications in Arabic (Promotion Items),Administration,PR Activities ,Administration
,ICRC publications in English (Promotion Items),Administration,PR Activities ,Administration
,ICRC publications in French (Promotion Items),Administration,PR Activities ,Administration
,ICRC publications in Portuguese (Promotion Items),Administration,PR Activities ,Administration
,ICRC publications in Russian (Promotion Items),Administration,PR Activities ,Administration
,ICRC publications in Spanish (Promotion Items),Administration,PR Activities ,Administration
,Keyholders (Promotion Items),Administration,PR Activities ,Administration
,Pen (Promotion Items),Administration,PR Activities ,Administration
,Swiss Card,Administration,PR Activities ,Administration
,Umbrellas (Promotion Items),Administration,PR Activities ,Administration
,USB memory key,Administration,PR Activities ,Administration
,Protection,Administration,Administration Items,Administration
,Aprons For X-Ray Protection (Protection),Administration,Administration Items,Administration
,Boots,Administration,Administration Items,Administration
,Ear Protection (Protection),Administration,Administration Items,Administration
,Glass (Protection),Administration,Administration Items,Administration
,Gloves (Protection),Administration,Administration Items,Administration
,Googles,Administration,Administration Items,Administration
,Helmets (Protection),Administration,Administration Items,Administration
,Jacket (Protection),Administration,Administration Items,Administration
,Masks (Protection),Administration,Administration Items,Administration
,"Medic Nuclear, Radiologi (Protection)",Administration,Administration Items,Administration
