,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Medic Non communicable d,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Medic Nuclear, Radiologi (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Medic Set Physiotherapy,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Medic Set Surgical (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Medico-Nutritionnal Kit,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Module Dressing,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Module First-Aid,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Module Injection (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Module Labo,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Module renewable surgical (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Module War hospital,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,MWWE,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,MWWH,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Personal Protection Items (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Self-cleaning hygiene,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Anaesthesia,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Dressing (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Drugs,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Examination,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Extrication Collars,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Gloves,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Infusions,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Injections,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Linen,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Plaster (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Respiratory Resuscitation,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Splints,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Sterilization,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Surgical Drainage,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Sutures (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Tetanus,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Urine Drainage (Medical / Health (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Surgical miscellaneous,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,SWWE,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,SWWH,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,War wounded kit,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,X-ray set,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Medical Surgical Instr (Kits, Modules and Sets)","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Delivery set,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Embryotomy,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Module Maxillo-Facial,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Primary health care set,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Amputation (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Basic Surgery,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Bone Surgery (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set bone Wiring,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Craniotomy (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Dental Extraction (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Dressing (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set E.N.T.,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set External Fixation (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Fine Surgery (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Gyneacology (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Intubation,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Laparotomy (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Ophtalmology,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Plaster (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Skeletal Traction (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Skin Graft,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Sutures (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Thoracotomy (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Urethral Sounds,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Set Vascular,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Set Wound Excision (Medical Surgical Instr (Kits, Modules and Sets))","Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,Surgi Set Cricothyroidot,"Medical, Health","Medical / Health (Kits, Modules and Sets)","Medical, Health"
,"Nuclear, Bio and Chem","Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,"Clothes (Nuclear, Bio and Chem)","Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,"Medic Nuclear, Radiologi (Nuclear, Bio and Chem)","Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Orthopedic,"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Hooks (Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Knee (Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Marpol Machines (Orthopedic),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,"Relief (Kits, Modules and Sets)",Relief,"Relief (Kits, Modules and Sets)",Relief
,BAMB,Relief,"Relief (Kits, Modules and Sets)",Relief
,CARP,Relief,"Relief (Kits, Modules and Sets)",Relief
,"CLEA (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,"Clothes (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,Cooking Set,Relief,"Relief (Kits, Modules and Sets)",Relief
,"Feminine personal (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,"Fencing (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,Food Distribution,Relief,"Relief (Kits, Modules and Sets)",Relief
,Food kits,Relief,"Relief (Kits, Modules and Sets)",Relief
,"HouseHold (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,Hygienic Parcels,Relief,"Relief (Kits, Modules and Sets)",Relief
,MASO,Relief,"Relief (Kits, Modules and Sets)",Relief
,"Measuring (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,"Miscellanous Items (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,Non-food Distribution,Relief,"Relief (Kits, Modules and Sets)",Relief
,Registration,Relief,"Relief (Kits, Modules and Sets)",Relief
,Relie Fishing items,Relief,"Relief (Kits, Modules and Sets)",Relief
,Relie Food Parcel Canned,Relief,"Relief (Kits, Modules and Sets)",Relief
,RUBR,Relief,"Relief (Kits, Modules and Sets)",Relief
,School,Relief,"Relief (Kits, Modules and Sets)",Relief
,"Seeds (Relief (Kits, Modules and Sets))",Relief,"Relief (Kits, Modules and Sets)",Relief
,Shelter kit,Relief,"Relief (Kits, Modules and Sets)",Relief
,STEE,Relief,"Relief (Kits, Modules and Sets)",Relief
,"Sanitation (Kits, Modules and Sets)",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Hygiene promotion (Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Incinerator (Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Kit Haemmorragic fever,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Kit, Body removal",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Protective set,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Sanit Kit Cleaning,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Sanit Kit Ebola,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Sanit Kit, Body recovery",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Squatting Plate (Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Telecom (Kits, Modules and Sets)","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Admin Deployment U (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Antenna (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"BGAN explorer (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Coaxial (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Global Positioning System (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Inmarsat (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Iridum transceivers and acessoires (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Mast And Accessories (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Programing (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Repeaters (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,Telec Emergency telecom,"IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,Telec Protect Civilian P,"IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,Telec Reunification of F,"IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Thuraya (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Tools (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Transceiver And Accessories (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Very Small Aperture Terminal (Telecom (Kits, Modules and Sets))","IT, Radio, Telecom","Telecom (Kits, Modules and Sets)","IT, Radio, Telecom"
,"Transport (Kits, Modules and Sets)",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Filters (Transport (Kits, Modules and Sets))",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Flags (Transport (Kits, Modules and Sets))",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,Installation,Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Land Cruiser Pick Up (Transport (Kits, Modules and Sets))",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,Land Cruiser Station Wagon,Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Pumps Diesel (Transport (Kits, Modules and Sets))",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Tools (Transport (Kits, Modules and Sets))",Fleet,"Transport (Kits, Modules and Sets)",Fleet
,Trans Cold climate equip,Fleet,"Transport (Kits, Modules and Sets)",Fleet
,Trans -Logbook,Fleet,"Transport (Kits, Modules and Sets)",Fleet
,"Veterinary  (Kits, Modules and Sets)","Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Medic Set Surgical (Veterinary ),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Miscellanous Items (Veterinary ),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Module Injection (Veterinary ),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,Module renewable surgical (Veterinary ),"Medical, Health","Other (Veterinary, Prosthetic Items, Nuclear, Bio and Chem, etc) (Kits, Modules and Sets)","Medical, Health"
,"Water and Sanitation (Kits, Modules and Sets)",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Distribution Ramps (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Dosing Unit (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Emergency (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Fittings (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Geophysics,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Handpump (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Measuring (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Miscellanous Items (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Pump (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Pump Combustible,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Pump, electric (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Repairing (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Sprayer for chemicals (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Tools (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Water and sanitation (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Water Lab & Testing Items (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Water Network Accessories,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Water Tanks,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Water treatment (Water and Sanitation (Kits, Modules and Sets))",WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,Water Treatment Unit Filter,WASH,"Water and Sanitation (Kits, Modules and Sets)",WASH
,"Weapon-contamination (Kits, Modules and Sets)","Construction, Engineering","Engineering (Kits, Modules and Sets)","Construction, Engineering"
,"Demining (Weapon-contamination (Kits, Modules and Sets))","Construction, Engineering","Engineering (Kits, Modules and Sets)","Construction, Engineering"
,"Foren Set training (Weapon-contamination (Kits, Modules and Sets))","Construction, Engineering","Engineering (Kits, Modules and Sets)","Construction, Engineering"
,Weapo Extraction,"Construction, Engineering","Engineering (Kits, Modules and Sets)","Construction, Engineering"
,Library,Administration,Library Items,Administration
,Audio Visio Material (Library),Administration,Library Items,Administration
,Audio Visual Materi (Audio Visio Material (Library)),Administration,Library Items,Administration
,English French (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in Arabic (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in Chinese (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in English (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in French (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in Portuguese (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in Russian (Audio Visio Material (Library)),Administration,Library Items,Administration
,ICRC publications in Spanish (Audio Visio Material (Library)),Administration,Library Items,Administration
,Dictionnaries,Administration,Library Items,Administration
,Dictionnaires (Dictionnaries),Administration,Library Items,Administration
,Geographical Maps,Administration,Library Items,Administration
,EuraMo,Administration,Library Items,Administration
,Satellite imagery,Administration,Library Items,Administration
,Habitat,Administration,Library Items,Administration
,Building,Administration,Library Items,Administration
,Dictionnaires (Habitat),Administration,Library Items,Administration
,Energy (Habitat),Administration,Library Items,Administration
,Engineering (Habitat),Administration,Library Items,Administration
,Logistic (Library),Administration,Library Items,Administration
,CATALOG,Administration,Library Items,Administration
,Cold Chain,Administration,Library Items,Administration
,Handbooks,Administration,Library Items,Administration
,IATA Package (Logistic (Library)),Administration,Library Items,Administration
,Medical / Health (Library),Administration,Library Items,Administration
,Anaesthesis (Medical / Health (Library)),Administration,Library Items,Administration
,Detention,Administration,Library Items,Administration
,Dictionnaires (Medical / Health (Library)),Administration,Library Items,Administration
,Emergency (Medical / Health (Library)),Administration,Library Items,Administration
,Epidemiology,Administration,Library Items,Administration
,First Aid (Medical / Health (Library)),Administration,Library Items,Administration
,Health,Administration,Library Items,Administration
,Laboratory (Medical / Health (Library)),Administration,Library Items,Administration
,Nurse and Nursing (Medical / Health (Library)),Administration,Library Items,Administration
,Nutrition (Medical / Health (Library)),Administration,Library Items,Administration
,Obstetrics (Medical / Health (Library)),Administration,Library Items,Administration
,Orthopaedic Books,Administration,Library Items,Administration
,Pharmacy,Administration,Library Items,Administration
,Physiotherapy (Medical / Health (Library)),Administration,Library Items,Administration
,Radiology,Administration,Library Items,Administration
,Sanitation (Medical / Health (Library)),Administration,Library Items,Administration
,Surgery,Administration,Library Items,Administration
,Tropical Diseases,Administration,Library Items,Administration
,Tuberculine,Administration,Library Items,Administration
,Miscellaneous (Library),Administration,Library Items,Administration
,Bibles,Administration,Library Items,Administration
,Korans,Administration,Library Items,Administration
,Miscellanous Items (Miscellaneous (Library)),Administration,Library Items,Administration
,Non-ICRC Publication/Film,Administration,Library Items,Administration
,Miscellanous Items (Non-ICRC Publication/Film),Administration,Library Items,Administration
,PMD Publications/Films (Library),Administration,Library Items,Administration
,Audio Visual Materi (PMD Publications/Films (Library)),Administration,Library Items,Administration
,Bahasa Indonesia,Administration,Library Items,Administration
,Dari,Administration,Library Items,Administration
,"French, English, German, Italian",Administration,Library Items,Administration
,Hausa,Administration,Library Items,Administration
,ICRC publications (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications (PMD Publications/Films),Administration,Library Items,Administration
,ICRC publications in Arabic (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in Chinese (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in English (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in French (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in German,Administration,Library Items,Administration
,ICRC publications in Italian,Administration,Library Items,Administration
,ICRC publications in Portuguese (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in Russian (PMD Publications/Films (Library)),Administration,Library Items,Administration
,ICRC publications in Spanish (PMD Publications/Films (Library)),Administration,Library Items,Administration
,in Kiswahili,Administration,Library Items,Administration
,in Tigrigna,Administration,Library Items,Administration
,Lingala,Administration,Library Items,Administration
,Miscellanous Items (PMD Publications/Films (Library)),Administration,Library Items,Administration
,Mongolian,Administration,Library Items,Administration
,Pashto,Administration,Library Items,Administration
,Somali,Administration,Library Items,Administration
,Water and Sanitation (Library),Administration,Library Items,Administration
,Emergency (Water and Sanitation (Library)),Administration,Library Items,Administration
,Engineering (Water and Sanitation (Library)),Administration,Library Items,Administration
,Lutte Antivectorielle,Administration,Library Items,Administration
,Office Internationl de l'Eau,Administration,Library Items,Administration
,Sanitation (Water and Sanitation (Library)),Administration,Library Items,Administration
,Water (Water and Sanitation (Library)),Administration,Library Items,Administration
,Medical Equipment and Instruments,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Anesthesia Equipment (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Anaesthesis (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Anemometer (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Bandages (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Breathing circuit (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Capnographe,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,DEFIBRILLATORS,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Laryngoscope (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Masks (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,"Medic Nuclear, Radiologi (Anesthesia Equipment (Medical Equipment and Instruments))","Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Medical oxygen com,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,MONITOR (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Mouth Gag (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Nerve stimulator (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Oxygen Concentrators & Access.,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Oxymeters F. Puls,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Reanimation Items In Ot,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Resuscitator Ambu,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tourniquet (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Trolley (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tube Endotracheal (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tube Guedel (Anesthesia Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tube Wendl,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Warming equipment,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cold Chain Materials,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Burners For Cold Chain,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cold Box (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Control Cards For Cold Chain,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Freezers (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fridge (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fridge/Freezer combined (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Funnel (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Ice Packs,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Isothermal Boxes And Bottles,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Security service (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Thermometer (Cold Chain Materials),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Dental Instruments,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Elevator,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Forceps Levis,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Mirror (Dental Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Probes,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fixators (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Case (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Drilling machine or instrument (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Gexfix Catalog (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
